xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
131072          0.02            56884.55        0.99           
131072          0.02            56492.84        1.01           
131072          0.02            56278.21        1.00           
131072          0.02            56500.63        1.00           
131072          0.02            56286.23        1.00           
131072          0.02            56251.37        1.00           
131072          0.02            56542.95        0.99           
196608          0.02            55749.97        1.01           
196608          0.02            55668.48        1.00           
196608          0.02            55675.59        1.00           
196608          0.02            55619.24        1.00           
196608          0.02            55725.91        1.00           
196608          0.02            55929.80        1.00           
196608          0.02            55917.12        1.00           
196608          0.02            55811.63        1.00           
196608          0.02            55702.35        1.00           
196608          0.02            55799.95        1.00           
262144          0.02            55320.48        1.01           
262144          0.02            55431.32        1.00           
262144          0.02            55328.57        1.00           
262144          0.02            55405.45        1.00           
262144          0.02            55308.94        1.00           
262144          0.02            55336.43        1.00           
262144          0.02            55390.65        1.00           
262144          0.02            55537.08        1.00           
262144          0.02            55639.72        1.00           
262144          0.02            55365.25        1.00           
393216          0.02            54831.62        1.01           
393216          0.02            55118.99        0.99           
393216          0.02            54965.36        1.00           
393216          0.02            54801.96        1.00           
393216          0.02            54861.21        1.00           
393216          0.02            55112.47        1.00           
393216          0.02            54969.61        1.00           
393216          0.02            55015.58        1.00           
393216          0.02            54956.38        1.00           
393216          0.02            55089.80        1.00           
524288          0.02            54617.09        1.01           
524288          0.02            54810.81        1.00           
524288          0.02            54590.31        1.00           
524288          0.02            54713.39        1.00           
524288          0.02            54879.31        1.00           
524288          0.02            54621.60        1.00           
524288          0.02            54633.63        1.00           
524288          0.02            54579.61        1.00           
524288          0.02            54734.87        1.00           
524288          0.02            54646.63        1.00           
786432          0.02            54368.38        1.01           
786432          0.02            54381.69        1.00           
786432          0.02            54410.62        1.00           
786432          0.02            54514.38        1.00           
786432          0.02            54411.00        1.00           
786432          0.02            54370.28        1.00           
786432          0.02            54313.35        1.00           
786432          0.02            54375.38        1.00           
786432          0.02            54462.11        1.00           
786432          0.02            54423.68        1.00           
1048576         0.02            54386.45        1.00           
1048576         0.02            54347.54        1.00           
1048576         0.02            54202.06        1.00           
1048576         0.02            54232.43        1.00           
1048576         0.02            54202.31        1.00           
1048576         0.02            54193.75        1.00           
1048576         0.02            54175.98        1.00           
1048576         0.02            54242.92        1.00           
1048576         0.02            54216.41        1.00           
1048576         0.02            54221.38        1.00           
1572864         0.02            54152.62        1.00           
1572864         0.02            54055.18        1.00           
1572864         0.02            54091.91        1.00           
1572864         0.02            54106.22        1.00           
1572864         0.02            54156.61        1.00           
1572864         0.02            54187.89        1.00           
1572864         0.02            54232.47        1.00           
1572864         0.02            54069.24        1.00           
1572864         0.02            54068.75        1.00           
1572864         0.02            54176.75        1.00           
2097152         0.02            54050.57        1.00           
2097152         0.02            54146.46        1.00           
2097152         0.02            54030.29        1.00           
2097152         0.02            54150.32        1.00           
2097152         0.02            54125.92        1.00           
2097152         0.02            54008.14        1.00           
2097152         0.02            54044.74        1.00           
2097152         0.02            54008.86        1.00           
2097152         0.02            54013.92        1.00           
2097152         0.02            54041.13        1.00           
3145728         0.02            53944.78        1.00           
3145728         0.02            53919.37        1.00           
3145728         0.02            53926.52        1.00           
3145728         0.02            53987.61        1.00           
3145728         0.02            54039.79        1.00           
3145728         0.02            54086.35        1.00           
3145728         0.02            53959.85        1.00           
3145728         0.02            53910.65        1.00           
3145728         0.02            53968.04        1.00           
3145728         0.02            54074.45        1.00           
4194304         0.02            53509.33        1.01           
4194304         0.02            53688.77        1.00           
4194304         0.02            53678.76        1.00           
4194304         0.02            53633.98        1.00           
4194304         0.02            53482.98        1.00           
4194304         0.02            53618.54        1.00           
4194304         0.02            53587.13        1.00           
4194304         0.02            53583.34        1.00           
4194304         0.02            53650.15        1.00           
4194304         0.02            53602.70        1.00           
6291456         0.02            53071.69        1.01           
6291456         0.02            53104.07        1.00           
6291456         0.02            53110.05        1.00           
6291456         0.02            53214.29        1.00           
6291456         0.02            53107.99        1.00           
6291456         0.02            53237.47        1.00           
6291456         0.02            53249.74        1.00           
6291456         0.02            53262.34        1.00           
6291456         0.02            53192.89        1.00           
6291456         0.02            53101.55        1.00           
8388608         0.02            42588.75        1.25           
8388608         0.02            42618.13        1.00           
8388608         0.02            42616.15        1.00           
8388608         0.02            42554.82        1.00           
8388608         0.02            42617.51        1.00           
8388608         0.02            42619.98        1.00           
8388608         0.02            42623.52        1.00           
8388608         0.02            42603.85        1.00           
8388608         0.02            42621.57        1.00           
8388608         0.02            42614.33        1.00           
12582912        0.03            34684.04        1.23           
12582912        0.03            34684.77        1.00           
12582912        0.03            34721.03        1.00           
12582912        0.03            34704.09        1.00           
12582912        0.03            34702.38        1.00           
12582912        0.03            34655.45        1.00           
12582912        0.03            34696.84        1.00           
12582912        0.03            34707.73        1.00           
12582912        0.03            34707.77        1.00           
12582912        0.03            34697.16        1.00           
